Time	[AKT_mod_slash_PIP3_AKT_thr308]	[BDNF]	[CaMKIII_star]	[Ca]	[MAPK_star]	[protein]
4360	0.00543121	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4361	0.0054312	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4362	0.00543119	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4363	0.00543118	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4364	0.00543117	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4365	0.00543116	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4366	0.00543116	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4367	0.00543115	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4368	0.00543114	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4369	0.00543113	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4370	0.00543112	5e-05	0.0305035	0.08	0.00412944	5.19088e-06
4371	0.00543112	5e-05	0.0305035	0.08	0.00412944	5.19089e-06
4372	0.00543111	5e-05	0.0305035	0.08	0.00412944	5.19089e-06
4373	0.0054311	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4374	0.00543109	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4375	0.00543108	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4376	0.00543107	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4377	0.00543107	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4378	0.00543106	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4379	0.00543105	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4380	0.00543104	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4381	0.00543103	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4382	0.00543102	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4383	0.00543102	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4384	0.00543101	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4385	0.005431	5e-05	0.0305035	0.08	0.00412943	5.19089e-06
4386	0.00543099	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4387	0.00543098	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4388	0.00543098	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4389	0.00543097	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4390	0.00543096	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4391	0.00543095	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4392	0.00543094	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4393	0.00543094	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4394	0.00543093	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4395	0.00543092	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4396	0.00543091	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4397	0.0054309	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4398	0.0054309	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4399	0.00543089	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4400	0.00543088	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4401	0.00543087	5e-05	0.0305035	0.08	0.00412943	5.1909e-06
4402	0.00543086	5e-05	0.0305035	0.08	0.00412943	5.19091e-06
4403	0.00543085	5e-05	0.0305035	0.08	0.00412943	5.19091e-06
4404	0.00543085	5e-05	0.0305035	0.08	0.00412943	5.19091e-06
4405	0.00543084	5e-05	0.0305035	0.08	0.00412943	5.19091e-06
4406	0.00543083	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
4407	0.00543082	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
