Time	[TCFBCatenin]	[pAkt]	[pERK]
986	8.82362	1.36947e-05	8.76053
988	8.82369	1.35583e-05	8.76872
990	8.82376	1.34234e-05	8.77684
992	8.82383	1.32898e-05	8.78491
994	8.8239	1.31575e-05	8.79292
996	8.82397	1.30265e-05	8.80088
998	8.82404	1.28969e-05	8.80877
1000	8.82411	1.27685e-05	8.81661
1002	8.82418	1.26414e-05	8.8244
1004	8.82425	1.25156e-05	8.83212
1006	8.82432	1.2391e-05	8.83979
1008	8.82439	1.22677e-05	8.8474
1010	8.82446	1.21456e-05	8.85496
1012	8.82453	1.20247e-05	8.86245
1014	8.82461	1.1905e-05	8.8699
1016	8.82468	1.17865e-05	8.87728
1018	8.82475	1.16692e-05	8.88462
1020	8.82482	1.1553e-05	8.89189
1022	8.8249	1.1438e-05	8.89911
1024	8.82497	1.13242e-05	8.90628
1026	8.82504	1.12115e-05	8.91339
1028	8.82511	1.10999e-05	8.92044
1030	8.82519	1.09894e-05	8.92744
1032	8.82526	1.088e-05	8.93439
1034	8.82533	1.07717e-05	8.94128
1036	8.82541	1.06645e-05	8.94812
1038	8.82548	1.05584e-05	8.9549
1040	8.82556	1.04533e-05	8.96163
1042	8.82563	1.03492e-05	8.96831
1044	8.82571	1.02462e-05	8.97493
1046	8.82578	1.01443e-05	8.9815
1048	8.82586	1.00433e-05	8.98802
1050	8.82593	9.94333e-06	8.99448
1052	8.82601	9.84437e-06	9.00089
1054	8.82608	9.74639e-06	9.00725
1056	8.82616	9.64939e-06	9.01355
1058	8.82623	9.55335e-06	9.01981
1060	8.82631	9.45827e-06	9.02601
1062	8.82639	9.36413e-06	9.03216
1064	8.82646	9.27093e-06	9.03825
1066	8.82654	9.17866e-06	9.0443
1068	8.82662	9.08731e-06	9.05029
1070	8.82669	8.99687e-06	9.05624
1072	8.82677	8.90732e-06	9.06213
1074	8.82685	8.81867e-06	9.06797
1076	8.82693	8.7309e-06	9.07376
1078	8.827	8.64401e-06	9.0795
1080	8.82708	8.55798e-06	9.08519
1082	8.82716	8.47281e-06	9.09083
1084	8.82724	8.38848e-06	9.09642
1086	8.82732	8.305e-06	9.10196
1088	8.8274	8.22234e-06	9.10745
1090	8.82747	8.14051e-06	9.11289
1092	8.82755	8.05949e-06	9.11828
1094	8.82763	7.97928e-06	9.12362
1096	8.82771	7.89987e-06	9.12891
1098	8.82779	7.82125e-06	9.13415
1100	8.82787	7.74341e-06	9.13935
1102	8.82795	7.66634e-06	9.14449
1104	8.82803	7.59005e-06	9.14959
1106	8.82811	7.51451e-06	9.15464
1108	8.82819	7.43972e-06	9.15964
1110	8.82827	7.36568e-06	9.16459
1112	8.82835	7.29238e-06	9.16949
1114	8.82843	7.2198e-06	9.17435
1116	8.82852	7.14795e-06	9.17916
1118	8.8286	7.07681e-06	9.18392
1120	8.82868	7.00638e-06	9.18864
1122	8.82876	6.93665e-06	9.19331
1124	8.82884	6.86762e-06	9.19793
1126	8.82892	6.79927e-06	9.2025
1128	8.82901	6.73161e-06	9.20703
1130	8.82909	6.66461e-06	9.21151
1132	8.82917	6.59829e-06	9.21595
1134	8.82925	6.53262e-06	9.22034
1136	8.82934	6.46761e-06	9.22468
1138	8.82942	6.40324e-06	9.22898
1140	8.8295	6.33952e-06	9.23323
1142	8.82959	6.27643e-06	9.23744
1144	8.82967	6.21397e-06	9.2416
1146	8.82975	6.15213e-06	9.24571
1148	8.82984	6.0909e-06	9.24979
1150	8.82992	6.03029e-06	9.25381
1152	8.83001	5.97027e-06	9.25779
1154	8.83009	5.91086e-06	9.26173
1156	8.83017	5.85204e-06	9.26563
1158	8.83026	5.7938e-06	9.26947
1160	8.83034	5.73614e-06	9.27328
1162	8.83043	5.67906e-06	9.27704
1164	8.83051	5.62254e-06	9.28076
1166	8.8306	5.56659e-06	9.28443
1168	8.83068	5.51119e-06	9.28806
1170	8.83077	5.45634e-06	9.29165
1172	8.83086	5.40204e-06	9.29519
1174	8.83094	5.34828e-06	9.29869
1176	8.83103	5.29506e-06	9.30215
1178	8.83111	5.24237e-06	9.30556
1180	8.8312	5.1902e-06	9.30894
1182	8.83129	5.13855e-06	9.31227
1184	8.83137	5.08741e-06	9.31556
1186	8.83146	5.03678e-06	9.3188
1188	8.83155	4.98666e-06	9.32201
1190	8.83164	4.93703e-06	9.32517
1192	8.83172	4.8879e-06	9.32829
1194	8.83181	4.83926e-06	9.33137
1196	8.8319	4.7911e-06	9.33441
1198	8.83199	4.74342e-06	9.3374
1200	8.83207	4.69622e-06	9.34036
1202	8.83216	4.64949e-06	9.34327
1204	8.83225	4.60322e-06	9.34615
1206	8.83234	4.55741e-06	9.34898
1208	8.83243	4.51206e-06	9.35177
1210	8.83252	4.46716e-06	9.35452
1212	8.83261	4.4227e-06	9.35724
1214	8.83269	4.37869e-06	9.35991
1216	8.83278	4.33512e-06	9.36254
1218	8.83287	4.29198e-06	9.36513
1220	8.83296	4.24926e-06	9.36768
1222	8.83305	4.20698e-06	9.3702
1224	8.83314	4.16511e-06	9.37267
1226	8.83323	4.12367e-06	9.37511
1228	8.83332	4.08263e-06	9.3775
1230	8.83341	4.042e-06	9.37986
1232	8.8335	4.00178e-06	9.38218
1234	8.83359	3.96196e-06	9.38445
1236	8.83369	3.92253e-06	9.3867
1238	8.83378	3.8835e-06	9.3889
1240	8.83387	3.84485e-06	9.39106
1242	8.83396	3.80659e-06	9.39319
1244	8.83405	3.76871e-06	9.39528
1246	8.83414	3.73121e-06	9.39733
1248	8.83423	3.69408e-06	9.39934
1250	8.83433	3.65732e-06	9.40131
1252	8.83442	3.62092e-06	9.40325
1254	8.83451	3.58489e-06	9.40515
1256	8.8346	3.54922e-06	9.40701
1258	8.83469	3.5139e-06	9.40884
1260	8.83479	3.47893e-06	9.41063
1262	8.83488	3.44431e-06	9.41238
1264	8.83497	3.41004e-06	9.4141
1266	8.83506	3.3761e-06	9.41578
1268	8.83516	3.34251e-06	9.41742
1270	8.83525	3.30925e-06	9.41903
1272	8.83534	3.27632e-06	9.4206
1274	8.83544	3.24371e-06	9.42213
1276	8.83553	3.21143e-06	9.42363
1278	8.83563	3.17948e-06	9.42509
1280	8.83572	3.14784e-06	9.42652
1282	8.83581	3.11651e-06	9.42791
1284	8.83591	3.0855e-06	9.42927
1286	8.836	3.0548e-06	9.43059
1288	8.8361	3.0244e-06	9.43188
1290	8.83619	2.9943e-06	9.43313
1292	8.83629	2.96451e-06	9.43435
1294	8.83638	2.93501e-06	9.43553
1296	8.83648	2.9058e-06	9.43668
1298	8.83657	2.87689e-06	9.43779
1300	8.83667	2.84826e-06	9.43887
1302	8.83676	2.81992e-06	9.43992
1304	8.83686	2.79186e-06	9.44093
1306	8.83695	2.76407e-06	9.44191
1308	8.83705	2.73657e-06	9.44285
1310	8.83715	2.70934e-06	9.44376
1312	8.83724	2.68238e-06	9.44464
1314	8.83734	2.65569e-06	9.44548
1316	8.83744	2.62926e-06	9.44629
1318	8.83753	2.6031e-06	9.44707
1320	8.83763	2.57719e-06	9.44781
1322	8.83773	2.55155e-06	9.44852
1324	8.83782	2.52616e-06	9.4492
1326	8.83792	2.50102e-06	9.44985
1328	8.83802	2.47613e-06	9.45046
1330	8.83811	2.45149e-06	9.45104
1332	8.83821	2.4271e-06	9.45159
1334	8.83831	2.40295e-06	9.4521
1336	8.83841	2.37904e-06	9.45259
1338	8.83851	2.35536e-06	9.45304
1340	8.8386	2.33193e-06	9.45346
1342	8.8387	2.30872e-06	9.45385
1344	8.8388	2.28575e-06	9.45421
1346	8.8389	2.263e-06	9.45453
1348	8.839	2.24048e-06	9.45483
1350	8.8391	2.21819e-06	9.45509
1352	8.83919	2.19612e-06	9.45532
1354	8.83929	2.17426e-06	9.45552
1356	8.83939	2.15263e-06	9.45569
1358	8.83949	2.13121e-06	9.45583
1360	8.83959	2.11e-06	9.45594
1362	8.83969	2.08901e-06	9.45602
1364	8.83979	2.06822e-06	9.45607
1366	8.83989	2.04764e-06	9.45609
1368	8.83999	2.02726e-06	9.45608
1370	8.84009	2.00709e-06	9.45603
1372	8.84019	1.98712e-06	9.45596
1374	8.84029	1.96735e-06	9.45586
1376	8.84039	1.94777e-06	9.45573
1378	8.84049	1.92839e-06	9.45557
1380	8.84059	1.9092e-06	9.45538
1382	8.84069	1.8902e-06	9.45516
1384	8.84079	1.87139e-06	9.45491
1386	8.84089	1.85277e-06	9.45463
1388	8.841	1.83433e-06	9.45432
1390	8.8411	1.81608e-06	9.45399
1392	8.8412	1.79801e-06	9.45362
1394	8.8413	1.78012e-06	9.45323
1396	8.8414	1.76241e-06	9.45281
1398	8.8415	1.74487e-06	9.45236
1400	8.8416	1.72751e-06	9.45188
1402	8.84171	1.71032e-06	9.45137
1404	8.84181	1.6933e-06	9.45083
1406	8.84191	1.67645e-06	9.45027
1408	8.84201	1.65977e-06	9.44968
1410	8.84212	1.64325e-06	9.44906
1412	8.84222	1.6269e-06	9.44841
1414	8.84232	1.61071e-06	9.44774
1416	8.84242	1.59468e-06	9.44704
1418	8.84253	1.57882e-06	9.44631
