Time	[TCFBCatenin]	[pAkt]	[pERK]
688	8.8663	6.08437e-05	59.2623
689	8.86649	6.05397e-05	59.3968
690	8.86669	6.02373e-05	59.5313
691	8.86688	5.99363e-05	59.6658
692	8.86707	5.96369e-05	59.8002
693	8.86727	5.9339e-05	59.9346
694	8.86746	5.90425e-05	60.0689
695	8.86765	5.87476e-05	60.2033
696	8.86785	5.84541e-05	60.3376
697	8.86804	5.81621e-05	60.4719
698	8.86824	5.78716e-05	60.6062
699	8.86843	5.75825e-05	60.7404
700	8.86863	5.72948e-05	60.8746
701	8.86883	5.70086e-05	61.0087
702	8.86902	5.67238e-05	61.1429
703	8.86922	5.64405e-05	61.277
704	8.86942	5.61585e-05	61.4111
705	8.86962	5.5878e-05	61.5451
706	8.86981	5.55989e-05	61.6791
707	8.87001	5.53212e-05	61.8131
708	8.87021	5.50448e-05	61.9471
709	8.87041	5.47699e-05	62.081
710	8.87061	5.44963e-05	62.2148
711	8.87081	5.42241e-05	62.3487
712	8.87101	5.39532e-05	62.4825
713	8.87121	5.36837e-05	62.6163
714	8.87141	5.34156e-05	62.75
715	8.87161	5.31488e-05	62.8837
716	8.87181	5.28833e-05	63.0174
717	8.87201	5.26192e-05	63.151
718	8.87221	5.23564e-05	63.2846
719	8.87241	5.20949e-05	63.4181
720	8.87262	5.18347e-05	63.5516
721	8.87282	5.15758e-05	63.6851
722	8.87302	5.13182e-05	63.8186
723	8.87322	5.10619e-05	63.952
724	8.87343	5.08068e-05	64.0853
725	8.87363	5.05531e-05	64.2186
726	8.87384	5.03006e-05	64.3519
727	8.87404	5.00494e-05	64.4851
728	8.87424	4.97994e-05	64.6183
729	8.87445	4.95507e-05	64.7515
730	8.87465	4.93032e-05	64.8846
731	8.87486	4.9057e-05	65.0176
732	8.87507	4.8812e-05	65.1506
733	8.87527	4.85682e-05	65.2836
734	8.87548	4.83256e-05	65.4165
735	8.87569	4.80843e-05	65.5494
736	8.87589	4.78442e-05	65.6823
737	8.8761	4.76052e-05	65.8151
738	8.87631	4.73675e-05	65.9478
739	8.87652	4.71309e-05	66.0805
740	8.87672	4.68955e-05	66.2132
741	8.87693	4.66614e-05	66.3458
742	8.87714	4.64283e-05	66.4784
743	8.87735	4.61965e-05	66.6109
744	8.87756	4.59658e-05	66.7433
745	8.87777	4.57362e-05	66.8757
746	8.87798	4.55078e-05	67.0081
747	8.87819	4.52806e-05	67.1404
748	8.8784	4.50545e-05	67.2727
749	8.87861	4.48295e-05	67.4049
750	8.87882	4.46056e-05	67.5371
