# Output of 'KaSim' 'AMPA5_8020.ka' 'camkii.ka' 'pickgrip3.ka' 'Calcium_signalling.ka' 'K868.ka' 'K870.ka' 'K882.ka' 'Subunits.ka' 'Mod_LTP_PSD_10.ka' '-l' '10000' '-p' '1' '-o' 'late_LTP_Slot_10.out' -seed 199994055
# "uuid" : "526912890"
"[T]","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","23AMPA_GRIP_endo","23AMPA_GRIP_PSD","23AMPA_PICK_endo","23AMPA_PICK_PSD","23AMPA_NSF","23AMPA_GRIP_PICK_endo","23AMPA_GRIP_PICK_PSD","23AMPA_S880","23AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap"
34.,0,0,1,0,0,1,1,0,0,1,107,0,2,1.,41,1,8,9,0,0,0,104,9,29,29,1,5,40,54,0,24,0,15,14,0,0,1,11,0,4,0,1,2,0,2,5,2,30,0,9,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
35.,0,0,1,0,0,1,1,0,0,1,107,0,2,1.,42,1,7,8,0,0,0,105,8,21,21,2,5,38,50,0,24,0,17,14,0,0,1,13,1,3,1,2,3,1,1,5,3,30,2,8,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,201,50,0
36.,0,0,1,0,0,1,1,0,0,1,107,0,2,1.,42,1,7,8,0,0,0,104,5,20,20,0,2,40,56,0,26,0,10,21,0,0,1,9,1,7,1,1,5,0,1,4,1,30,2,5,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,201,50,0
37.,0,0,1,0,0,1,1,0,0,2,106,0,2,1.,39,1,10,11,1,0,0,103,5,24,24,2,4,39,53,0,20,0,24,12,0,0,1,10,1,2,0,5,1,0,3,8,7,30,4,5,201,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
38.,0,0,0,0,0,0,0,0,0,2,106,1,1,0.,43,0,7,7,0,1,0,100,13,31,31,1,5,40,52,0,26,0,11,16,0,0,0,11,2,5,0,1,4,0,2,6,3,30,3,13,201,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
39.,0,0,0,0,0,0,0,0,0,2,106,0,2,0.,43,0,7,7,0,1,0,100,11,29,29,0,10,40,55,0,19,0,13,13,0,0,0,9,2,1,1,0,1,0,1,6,3,30,1,11,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
40.,0,0,0,0,0,0,0,0,0,2,106,0,2,0.,44,0,6,6,0,1,0,102,5,24,24,0,4,38,57,0,21,0,17,16,0,0,0,8,1,5,1,5,4,0,1,5,4,30,2,5,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
41.,0,0,0,0,0,0,0,0,0,1,107,0,2,0.,42,0,8,8,0,1,0,99,5,17,17,1,4,38,55,0,22,0,15,18,0,0,0,9,1,6,0,2,5,0,0,8,4,30,0,5,201,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,201,50,0
42.,0,0,0,0,0,0,0,0,0,1,107,1,1,0.,43,0,7,7,0,1,0,100,4,20,20,3,7,36,53,0,20,0,7,11,0,0,0,9,1,6,0,3,3,0,0,5,4,30,3,4,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,201,50,0
43.,0,0,0,0,0,0,0,0,0,1,107,1,1,0.,43,0,7,7,0,1,0,101,7,19,19,0,7,37,54,0,18,0,11,15,0,0,0,12,0,5,1,1,3,0,0,6,3,30,2,7,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
44.,0,0,0,0,0,0,0,0,0,1,107,1,1,0.,44,0,6,6,0,1,0,101,6,18,18,1,8,39,51,0,23,0,18,17,0,0,0,13,1,1,0,4,0,0,0,3,6,30,3,6,201,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
45.,0,0,0,0,0,0,0,0,0,0,108,0,2,0.,44,0,6,6,0,2,0,102,8,24,24,0,6,38,52,0,26,0,8,14,0,0,0,13,1,7,0,1,5,0,0,4,4,30,1,8,201,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,201,50,0
46.,0,0,0,0,0,0,0,0,0,3,105,0,2,0.,45,0,5,5,0,2,0,98,8,23,23,4,2,38,51,0,24,0,13,16,0,0,0,11,0,7,0,3,5,0,0,4,7,30,0,8,201,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,201,50,0
47.,0,0,0,0,0,0,0,0,0,2,106,0,2,0.,45,0,5,5,0,1,0,99,6,22,22,2,4,40,53,0,22,0,13,14,0,0,0,11,0,7,2,1,6,0,0,4,4,30,1,6,201,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,201,50,0
48.,0,0,0,0,0,0,0,0,0,2,106,0,2,0.,42,0,8,8,0,1,0,99,6,21,21,2,5,38,54,0,24,0,6,16,0,0,0,9,1,3,0,3,3,0,0,4,2,30,4,6,202,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,202,50,0
49.,0,0,0,0,0,0,0,0,0,3,105,1,1,0.,41,0,9,9,0,0,0,100,8,33,33,2,2,40,52,0,27,0,5,17,0,0,0,9,3,3,0,3,3,0,1,6,2,30,5,8,202,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,202,50,0
50.,0,0,0,0,0,0,0,0,0,3,105,0,2,0.,42,0,8,8,0,0,0,97,8,20,20,0,3,35,54,0,25,0,8,15,0,0,0,10,2,3,1,4,1,1,1,6,4,30,2,8,202,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,202,50,0
51.,0,0,0,0,0,0,0,0,0,3,105,0,2,0.,41,0,9,9,0,0,0,97,3,30,30,2,10,38,50,0,24,0,18,11,0,0,0,13,1,3,0,2,1,0,3,8,2,30,5,3,202,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,202,50,0
52.,0,0,1,1,0,0,1,0,0,3,105,1,1,1.,40,1,9,10,0,0,0,97,6,30,30,2,4,39,51,0,24,0,13,19,0,0,1,12,1,2,0,5,1,0,4,8,3,30,2,6,202,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,202,50,0
53.,0,0,1,1,0,0,1,0,0,3,105,0,2,1.,41,1,8,9,0,0,0,99,6,25,25,2,5,40,50,0,22,0,15,12,0,0,1,12,2,6,0,2,3,0,4,6,10,30,0,6,202,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,202,50,0
54.,0,0,1,1,0,0,1,0,0,4,104,0,2,1.,41,1,8,9,0,0,0,97,10,25,25,2,6,39,49,0,24,0,13,13,0,0,1,13,2,4,1,2,3,1,4,5,4,30,3,10,202,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,202,50,0
55.,0,0,0,0,0,0,0,0,0,5,103,0,2,0.,43,0,7,7,0,0,0,96,10,25,25,3,2,39,50,0,25,0,12,16,0,0,0,12,1,2,1,5,2,1,4,5,9,30,5,10,202,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,202,50,0
56.,0,0,1,1,0,0,0,1,0,4,104,0,2,1.,40,1,9,10,0,0,0,98,7,33,33,2,8,38,51,0,21,0,14,13,0,0,0,12,1,3,0,4,3,0,2,5,4,30,3,7,202,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,202,50,0
57.,0,0,1,1,0,0,0,1,0,5,103,1,1,1.,40,1,9,10,0,0,0,98,10,31,31,0,4,40,56,0,22,0,8,16,0,0,1,9,1,4,0,0,3,0,3,7,5,30,2,10,202,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,202,50,0
58.,0,0,1,1,0,0,0,1,0,4,104,0,2,1.,39,1,10,11,1,0,0,98,9,26,26,4,7,38,49,0,24,0,11,18,0,0,0,11,2,3,0,1,1,0,2,7,7,30,1,9,202,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,202,50,0
