# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_cTheta16.ka' '-l' '5000' '-p' '1' '-o' 'cTheta16_3.out' -seed 253456706
# "uuid" : "272219687"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
39.,50,145,98,2,4,3,2,7,1,7,0,486,145,0,0,0,0,0,1,4,2,1,5,1,0,0,8,13,95,2,8,1,8,9,17,0,5,30,1,13,816,7,5,13,456,456,0,13,3,3,0,3,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
40.,51,146,97,0,3,5,1,6,1,8,0,486,146,0,0,0,0,0,0,2,2,1,2,0,0,0,4,16,92,1,8,0,4,5,9,0,9,30,0,12,817,6,10,11,448,448,2,24,2,2,0,1,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
41.,50,145,97,2,5,3,1,8,3,8,0,484,145,0,0,0,0,0,2,4,1,2,4,1,0,0,9,18,90,5,5,0,9,4,13,0,5,30,1,9,815,6,6,9,461,461,1,15,2,2,0,1,549,651,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
42.,49,147,96,2,3,7,3,4,1,10,0,486,147,0,0,0,0,0,2,0,3,1.5,3,1,0,0,7,15,93,1,9,0,7,7,14,0,6,30,1,15,810,7,8,15,460,460,1,11,1,1,0,1,549,651,0,500,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,26,26,26,1,0,2,0,2
43.,49,148,97,2,2,5,2,3,1,7,0,490,148,0,0,0,0,0,0,2,1,0.5,2,0,0,0,3,15,93,1,9,1,3,5,8,0,3,30,1,13,805,7,6,13,479,479,0,13,2,2,0,1,548,652,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
44.,48,145,97,3,8,5,4,3,1,13,0,484,145,0,0,0,0,0,2,5,1,2.5,3,2,0,0,10,14,94,2,8,1,10,8,18,0,5,30,2,13,805,7,5,13,482,482,1,11,0,0,0,0,548,652,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
45.,47,147,95,4,6,5,4,5,5,11,0,484,147,0,0,0,0,0,1,3,2,2,3,0,0,0,7,13,95,1,9,1,7,7,14,0,2,30,0,6,800,6,11,6,459,459,1,15,1,1,0,1,548,652,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
46.,49,148,97,0,5,3,3,2,3,8,0,490,148,0,0,0,0,0,1.5,4,1,1.5,3,2,0,0,8,13,95,2,8,1,8,6,14,0,5,30,2,9,796,6,7,9,474,474,1,13,2,2,0,2,548,652,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
47.,48,148,93,2,6,8,2,4,6,14,0,482,148,0,0,0,0,0,2,3,1,2.5,2,1,0,0,8,10,98,1,9,1,8,3,11,1,3,30,3,9,792,6,5,9,466,466,0,14,3,3,0,2,548,652,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
48.,47,149,98,4,3,1,3,2,3,4,0,494,149,0,0,0,0,0,1.5,6,1,2,5,1,0,0,10,10,98,1,9,2,10,6,16,1,1,30,4,9,786,6,12,8,459,459,0,13,3,3,0,3,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
49.,48,146,97,3,7,3,3,4,3,10,0,486,146,0,0,0,0,0,1.5,5,0,2.5,2,1,0,0,8,12,96,2,8,2,8,5,13,1,8,30,2,10,784,6,5,10,469,469,1,17,5,5,0,5,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
50.,48,147,96,3,6,5,2,3,3,11,0,486,147,0,0,0,0,0,1,3,1,1,1,3,0,0,6,10,98,1,9,0,6,6,12,0,6,30,1,8,784,6,5,8,477,477,0,19,5,5,0,4,550,650,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
51.,50,146,96,1,6,7,0,3,1,13,0,484,146,0,0,0,0,0,0.5,4,0,0.5,3,1,0,0,5,9,99,2,7,2,5,7,12,0,5,30,2,11,780,5,7,11,470,470,0,15,0,0,0,0,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
52.,50,146,96,1,6,5,0,5,3,11,0,484,146,0,0,0,0,0,1,1,0,1,1,0,0,0,3,10,98,1,9,2,3,6,9,0,0,30,3,14,778,5,15,13,465,465,0,18,1,1,0,1,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
53.,51,145,98,0,6,4,0,4,0,10,0,486,145,0,0,0,0,0,1.5,2,0,1,3,0,0,0,5,10,98,1,9,2,5,3,8,0,5,30,1,7,776,5,8,7,458,458,1,14,1,1,0,1,548,652,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
54.,50,146,98,1,5,2,1,5,2,7,0,488,146,0,0,0,0,0,2,1,0,1,2,1,0,0,5,10,98,1,9,2,5,5,10,0,4,30,1,11,775,6,7,11,454,454,0,15,2,2,0,1,548,652,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
55.,49,144,98,1,10,4,4,2,0,14,0,484,144,0,0,0,0,0,1.5,4,1,2,2,2,0,0,8,9,99,1,9,1,8,6,14,0,3,30,2,6,766,3,10,6,454,454,1,16,3,3,0,3,549,651,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
56.,48,147,96,4,4,5,2,5,3,9,0,486,147,0,0,0,0,0,1,4,2,1,6,0,0,0,8,12,96,1,9,0,8,6,14,1,6,30,0,10,759,2,4,10,465,465,0,15,4,4,0,3,550,650,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
57.,50,145,96,1,6,7,2,5,1,13,0,482,145,0,0,0,0,0,1.5,3,0,2,1,1,0,0,6,15,93,1,9,0,6,5,11,0,4,30,3,12,758,2,7,12,456,456,0,11,3,3,0,3,550,650,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
58.,48,145,96,4,6,8,4,4,0,14,0,482,145,0,0,0,0,0,0.5,5,0,1,4,0,0,0,6,12,96,3,7,0,6,6,12,0,6,30,0,7,755,2,6,7,446,446,2,16,0,0,0,0,550,650,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
59.,49,146,99,1,7,1,3,2,1,8,0,490,146,0,0,0,0,0,1.5,1,0,0.5,2,1,0,0,4,16,92,2,8,1,4,11,15,0,6,30,0,10,750,2,7,10,441,441,0,13,3,3,0,2,549,651,0,500,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
60.,49,146,97,2,5,5,3,4,1,10,0,486,146,0,0,0,0,0,1.5,2,1,1,4,0,0,0,6,15,93,3,7,2,6,6,12,0,6,30,3,6,746,3,4,5,430,430,1,11,4,4,0,4,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
61.,50,144,97,2,6,5,2,7,1,11,0,482,144,0,0,0,0,0,1,2,0,1,0,2,0,0,4,17,91,2,8,2,4,9,13,1,2,30,1,7,741,3,12,7,428,428,0,14,1,1,0,1,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
62.,48,146,98,4,3,3,5,6,1,6,0,488,146,0,0,0,0,0,1,4,0,1,2,2,0,0,6,19,89,1,9,2,6,6,12,0,6,30,2,7,740,3,11,6,451,451,0,16,2,2,0,2,548,652,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
63.,48,147,98,3,4,1,4,5,3,5,0,490,147,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,23,85,1,9,0,4,7,11,0,4,30,1,9,740,3,6,9,468,468,1,16,4,4,0,3,550,650,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
64.,48,145,97,5,8,4,0,4,2,12,0,484,145,0,0,0,0,0,1.5,3,0,1.5,2,1,0,0,6,22,86,3,7,3,6,4,10,0,2,30,1,11,742,4,7,11,480,480,2,15,4,4,0,4,547,653,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
65.,49,146,97,3,5,5,1,4,1,10,0,486,146,0,0,0,0,0,2,4,0,0,8,0,0,0,8,21,87,0,10,1,8,5,13,0,8,30,1,8,742,4,5,8,485,485,0,14,3,3,0,3,550,650,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
66.,50,146,95,1,4,8,2,6,2,12,0,482,146,0,0,0,0,0,2,3,1,1,4,2,0,0,8,22,86,1,9,5,8,5,13,0,7,30,1,9,737,4,11,8,487,487,0,12,2,2,0,2,547,653,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
67.,49,145,98,1,8,2,4,4,2,10,0,486,145,0,0,0,0,0,1.5,3,0,1,3,1,0,0,6,20,88,3,7,1,6,10,16,0,2,30,1,7,734,3,9,7,486,486,0,8,3,3,0,3,551,649,0,499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,26,1,0,2,0,2
