# Output of 'KaSim' 'Agents.ka' '8020.ka' 'Variables.ka' 'Observables.ka' 'Rules.ka' 'Modifications_sTheta16.ka' '-l' '5000' '-p' '1' '-o' 'sTheta16_3.out' -seed 409349034
# "uuid" : "323092662"
"[T]","AMPAR1","AMPAR12","AMPAR23","AMPAR1homo","AMPAR12hetero","AMPAR23hetero","A1","A2","A3","A2sub1","A2sub2","A2subboth","Basal","Small","Medium","Large","Glu_Trigger","Glutamate_level","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_p","S818_pp","S818_u","I1_P","I1_u","PKA_a","PKA_i","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","subunits_AMPA_PSD","subunits_AMPA_X","subunits_AMPA_endo","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
35.,47,147,98,5,4,3,4,3,1,7,0,490,147,0,0,0,0,0,1,2,1,1,1,2,0,0,5,29,79,3,9,0,5,6,11,0,2,30,2,13,845,5,5,12,497,497,1,13,1,1,0,1,550,650,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
36.,49,146,99,3,4,2,2,4,0,6,0,490,146,0,0,0,0,0,1.5,3,0,1.5,3,0,0,0,6,32,76,3,9,1,6,7,13,0,9,30,1,4,841,4,6,4,494,494,0,14,1,1,0,1,549,651,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
37.,47,146,99,5,5,2,5,3,0,7,0,490,146,0,0,0,0,0,0,3,1,1.5,1,0,0,0,4,30,78,3,9,0,4,8,12,0,4,30,2,17,840,4,7,17,492,492,0,16,1,1,0,1,550,650,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
38.,49,148,94,1,5,5,1,6,7,10,0,484,148,0,0,0,0,0,0,6,0,1,4,0,0,0,6,33,75,3,9,1,6,8,14,1,1,30,3,8,837,5,7,8,486,486,1,11,2,2,0,2,549,651,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
39.,48,148,96,2,4,5,4,3,3,9,0,488,148,0,0,0,0,0,1.5,2,0,1,1,2,0,0,5,34,74,1,11,1,5,10,15,0,5,30,2,12,835,5,6,12,488,488,0,18,2,2,0,2,549,651,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
40.,48,148,95,3,2,8,4,4,2,10,0,486,148,0,0,0,0,0,0,3,1,1,2,0,0,0,4,32,76,2,10,0,4,7,11,0,5,30,1,6,834,5,4,6,482,482,2,21,0,0,0,0,550,650,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
41.,49,147,98,2,4,4,2,2,0,8,0,490,147,0,0,0,0,0,0.5,3,0,1.5,1,0,0,0,4,28,80,4,8,2,4,11,15,0,7,30,3,14,833,5,3,14,488,488,2,12,3,3,0,3,549,651,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
42.,50,146,95,0,4,8,4,6,2,12,0,482,146,0,0,0,0,0,0,4,0,1.5,1,0,0,0,4,25,83,2,10,2,4,6,10,0,7,30,2,11,835,5,3,11,472,472,0,12,0,0,0,0,549,651,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
43.,49,142,97,3,10,4,4,8,2,14,0,478,142,0,0,0,0,0,0.5,2,0,1,0,1,0,0,3,21,87,0,12,3,3,7,10,0,5,30,0,16,834,5,6,16,485,485,1,15,2,2,0,2,549,651,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
44.,51,145,96,0,5,8,1,5,0,13,0,482,145,0,0,0,0,0,1.5,7,0,1.5,5,2,0,0,10,22,86,3,9,2,10,6,16,1,4,30,2,10,834,5,5,10,488,488,0,14,5,5,0,4,550,650,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
45.,48,146,97,5,3,4,3,7,2,7,0,486,146,0,0,0,0,0,0.5,5,0,2,2,0,0,0,6,18,90,1,10,3,6,9,15,0,5,30,4,6,833,5,7,6,491,491,0,13,6,6,0,4,549,651,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
46.,49,145,95,2,8,8,2,4,2,16,0,480,145,0,0,0,0,0,0.5,6,0,3,1,0,0.5,0,6,19,89,1,10,1,7,9,16,0,4,30,1,5,833,5,4,5,494,494,0,18,2,2,0,2,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
47.,49,146,98,2,4,3,4,5,1,7,0,488,146,0,0,0,0,0,1,8,1,1,7,2,0.5,0,10,15,93,2,10,1,11,7,18,1,5,30,0,9,831,5,7,8,469,469,0,21,3,3,0,2,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
48.,47,145,99,6,8,2,2,2,0,10,0,488,145,0,0,0,0,0,0.5,6,1,1,6,0,0,0,8,15,93,4,7,1,8,8,16,0,6,30,0,10,829,4,5,9,462,462,0,8,6,6,0,5,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
49.,49,146,96,3,2,7,4,7,1,9,0,484,146,0,0,0,0,0,0.5,3,0,1,2,0,0,0,4,15,93,4,8,1,4,8,12,0,2,30,0,8,826,4,5,8,476,476,3,16,4,4,0,4,551,649,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
50.,48,144,96,4,9,8,3,3,0,17,0,480,144,0,0,0,0,0,1,4,0,2.5,1,0,0,0,6,15,93,2,10,4,6,6,12,0,3,30,0,11,830,4,8,11,472,472,2,14,5,5,0,5,548,652,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
51.,50,145,97,1,6,4,2,6,2,10,0,484,145,0,0,0,0,0,2,6,0,1,8,0,0,0,10,18,90,1,11,2,10,4,14,0,4,30,2,9,833,4,7,9,466,466,0,15,4,4,0,3,550,650,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
52.,48,144,99,3,9,2,5,3,0,11,0,486,144,0,0,0,0,0,2.5,3,0,2.5,3,0,0,0,8,19,89,3,9,0,8,6,14,0,7,30,1,7,833,4,7,7,471,471,2,12,5,5,0,5,552,648,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
53.,47,145,98,4,9,3,5,2,1,12,0,486,145,0,0,0,0,0,2,6,0,1,7,1,0,0,10,18,90,1,11,2,10,5,15,0,1,30,3,12,831,4,4,12,457,457,1,14,6,6,0,6,551,649,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
54.,48,150,95,1,3,4,3,3,6,7,0,490,150,0,0,0,0,0,1.5,7,0,2,5,1,0,0,10,16,92,2,10,0,10,6,16,0,4,30,1,9,827,4,2,9,462,462,0,18,5,5,0,2,553,647,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
55.,49,148,97,1,4,3,2,3,3,7,0,490,148,0,0,0,0,0,1.5,5,0,1,4,2,0,0,8,16,92,2,10,2,8,7,15,0,2,30,2,8,824,4,2,8,475,475,1,15,2,2,0,2,551,649,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
56.,48,146,95,3,7,6,3,5,4,13,0,482,146,0,0,0,0,0,2,7,0,3.5,3,1,0.5,0,10,17,91,1,10,0,11,9,20,0,6,30,2,11,824,5,8,10,484,484,1,17,2,2,0,1,553,647,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
57.,48,147,98,1,8,2,4,0,2,10,0,490,147,0,0,0,0,0,1.5,6,0,3,2,1,0,0,9,19,89,3,8,0,9,5,14,1,5,30,2,10,823,6,8,10,491,491,1,14,1,1,0,1,553,647,0,498,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,1,1,2,1,2
