# Output of 'KaSim' 'AMPA7.ka' 'camkii.ka' 'pickgrip.ka' 'Calcium_signalling.ka' 'Subunits.ka' 'K868.ka' 'K870.ka' 'K882.ka' '-l' '1000' '-p' '1' '-o' 'basal.out' -seed 972262943
# "uuid" : "999915017"
"[T]","Basal","Small","Medium","Large","Glu_Trigger","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","I1_P","I1_u","PKA_a","PKA_i","PKA_killer","Glutamate_level","Conductance","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII","GRIP_level","PICK1_level","actPKC_level","AMPA_GRIP_endo","AMPA_GRIP_PSD","AMPA_PICK_endo","AMPA_PICK_PSD","AMPA_NSF","AMPA_GRIP_PICK_endo","AMPA_GRIP_PICK_PSD","AMPA_S880","AMPA_Y876","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","AMPAR1","AMPAR12","AMPAR23","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","K870","K870_ub","K870_ub2","K870_ub3","K870_ub4","K870_ub5","K882","K882_ub","K882_ub2","K882_ub3","K882_ub4","K882_ub5"
57.,140,1,0,0,0,0,0,39,0,0,39,3,46,0,2,15,0,39.,1,39,10,49,0,0,0,17,0,0,21,0,37,19,10,6,10,9,5,0,26,0,30,1,0,0,141,35,139,2,0,0,0,0,137,4,0,0,0,0,137,4,0,0,0,0
58.,141,0,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,5,21,0,35,13,7,5,9,6,5,0,26,0,30,1,0,0,141,35,138,3,0,0,0,0,137,4,0,0,0,0,137,4,0,0,0,0
59.,140,1,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,1,17,0,41,9,12,5,10,11,4,0,21,1,30,1,0,0,141,35,138,3,0,0,0,0,135,6,0,0,0,0,137,4,0,0,0,0
60.,141,0,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,0,15,0,43,9,16,5,11,14,4,0,30,0,30,2,0,0,141,35,137,4,0,0,0,0,136,5,0,0,0,0,137,4,0,0,0,0
61.,141,0,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,3,12,0,41,9,18,5,12,17,5,0,26,0,30,3,0,0,141,35,137,4,0,0,0,0,136,5,0,0,0,0,136,5,0,0,0,0
62.,141,0,0,0,0,0,0,39,0,0,39,2,47,0,2,15,0,39.,1,39,10,49,0,0,0,17,0,2,21,0,43,10,14,2,15,13,2,0,28,0,30,1,0,0,141,35,137,4,0,0,0,0,136,5,0,0,0,0,135,6,0,0,0,0
63.,140,1,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,1,12,0,42,14,18,8,14,18,6,0,26,0,30,1,0,0,141,35,137,4,0,0,0,0,136,5,0,0,0,0,135,6,0,0,0,0
64.,141,0,0,0,0,0,0,39,0,0,39,1,48,1,1,15,0,39.,1,39,10,49,0,0,0,18,0,5,15,0,37,14,16,6,13,14,5,0,30,0,30,2,0,0,141,35,137,4,0,0,0,0,136,5,0,0,0,0,135,6,0,0,0,0
65.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,1,12,0,39,14,18,5,8,16,4,0,27,0,30,1,0,0,141,35,138,3,0,0,0,0,136,5,0,0,0,0,135,6,0,0,0,0
66.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,1,39,10,49,0,0,0,18,0,2,15,0,45,12,19,4,8,16,4,0,26,0,30,1,0,0,141,35,139,2,0,0,0,0,135,6,0,0,0,0,136,5,0,0,0,0
67.,141,0,0,0,0,0,0,39,0,0,39,1,48,1,1,15,0,39.,1,39,10,49,0,0,0,17,0,1,18,0,44,8,14,3,10,13,3,0,31,0,30,1,0,0,141,35,139,2,0,0,0,0,135,6,0,0,0,0,136,5,0,0,0,0
68.,140,1,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,18,0,2,16,0,41,11,18,4,8,14,3,0,35,0,30,2,0,0,141,35,138,3,0,0,0,0,136,5,0,0,0,0,136,5,0,0,0,0
69.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,18,0,2,19,0,40,15,17,3,13,14,3,0,28,0,30,2,0,0,141,35,138,3,0,0,0,0,136,5,0,0,0,0,137,4,0,0,0,0
70.,139,2,0,0,0,0,0,39,0,0,39,2,47,1,1,15,0,39.,0,39,11,50,0,0,0,17,0,2,14,0,42,13,15,8,12,13,7,0,31,0,30,2,0,0,141,35,138,3,0,0,0,0,137,4,0,0,0,0,136,5,0,0,0,0
71.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,17,0,1,15,0,39,18,13,8,12,11,7,0,30,1,30,3,0,0,141,35,137,4,0,0,0,0,137,4,0,0,0,0,137,4,0,0,0,0
72.,138,3,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,17,0,4,16,0,36,16,13,10,12,12,9,0,27,1,30,2,0,0,141,35,138,3,0,0,0,0,136,5,0,0,0,0,137,4,0,0,0,0
73.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,15,0,1,16,0,37,17,15,7,21,13,6,0,26,1,30,1,0,0,141,35,138,2,1,0,0,0,137,4,0,0,0,0,137,4,0,0,0,0
74.,140,1,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,18,0,3,15,0,34,16,16,6,7,14,5,0,24,1,30,1,0,0,141,35,138,2,1,0,0,0,137,4,0,0,0,0,137,4,0,0,0,0
75.,141,0,0,0,0,0,0,39,0,0,39,1,48,0,2,15,0,39.,0,39,11,50,0,0,0,18,0,0,16,0,34,18,12,6,7,11,4,0,28,1,30,1,0,0,141,35,138,2,1,0,0,0,137,4,0,0,0,0,137,4,0,0,0,0
76.,141,0,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,0,39,11,50,0,0,0,17,0,2,15,0,32,19,15,6,14,12,5,0,30,0,30,1,0,0,141,35,138,2,1,0,0,0,137,4,0,0,0,0,137,4,0,0,0,0
77.,140,1,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,0,39,11,50,0,0,0,17,0,1,14,0,36,16,15,5,11,10,4,0,31,0,30,2,0,0,141,35,137,3,1,0,0,0,137,4,0,0,0,0,136,5,0,0,0,0
78.,141,0,0,0,0,0,0,39,0,0,39,0,49,0,2,15,0,39.,0,39,11,50,0,0,0,18,0,1,12,0,41,11,19,4,15,17,4,0,31,1,30,1,0,0,141,35,137,3,1,0,0,0,137,4,0,0,0,0,136,5,0,0,0,0
79.,141,0,0,0,0,0,0,39,0,0,39,0,49,1,1,15,0,39.,0,39,11,50,0,0,0,16,0,3,15,0,41,11,13,5,10,11,3,0,25,0,30,0,0,0,141,35,137,2,2,0,0,0,137,4,0,0,0,0,136,5,0,0,0,0
